Date,Open,High,Low,Close,Volume,Adj Close
"Jul 23, 2010",10321.16,10465.19,10237.84,10424.62,4524570000,10424.62
"Jul 22, 2010",10121.81,10391.78,10121.81,10322.30,4826900000,10322.30
"Jul 21, 2010",10226.02,10310.04,10053.85,10120.53,4747180000,10120.53
"Jul 20, 2010",10151.48,10248.20,9973.17,10229.96,4713280000,10229.96
"Jul 19, 2010",10098.12,10213.09,10051.28,10154.43,4089500000,10154.43
"Jul 16, 2010",10356.20,10356.20,10071.63,10097.90,5297350000,10097.90
"Jul 15, 2010",10367.10,10409.49,10216.04,10359.31,4552470000,10359.31
"Jul 14, 2010",10370.96,10423.03,10265.16,10366.72,4521050000,10366.72
"Jul 13, 2010",10217.55,10436.20,10217.55,10363.02,4640460000,10363.02
"Jul 12, 2010",10199.24,10260.62,10121.13,10216.27,3426990000,10216.27
"Jul 9, 2010",10137.93,10226.48,10079.05,10198.03,3506570000,10198.03
"Jul 8, 2010",10019.26,10175.02,9987.02,10138.99,4548460000,10138.99
"Jul 7, 2010",9736.85,10029.93,9716.38,10018.28,4931220000,10018.28
"Jul 6, 2010",9689.21,9880.76,9648.26,9743.62,4691240000,9743.62
"Jul 2, 2010",9732.23,9798.19,9603.80,9686.48,3968500000,9686.48
"Jul 1, 2010",9773.27,9834.71,9596.04,9732.53,6435770000,9732.53
"Jun 30, 2010",9868.34,9951.47,9741.07,9774.02,5067080000,9774.02
"Jun 29, 2010",10135.72,10135.72,9786.45,9870.30,6136700000,9870.30
"Jun 28, 2010",10143.05,10246.82,10070.12,10138.52,3896410000,10138.52
"Jun 25, 2010",10153.48,10261.10,10039.97,10143.81,5128840000,10143.81
"Jun 24, 2010",10297.08,10314.31,10112.60,10152.80,4814830000,10152.80
"Jun 23, 2010",10293.30,10393.89,10195.81,10298.44,4526150000,10298.44
"Jun 22, 2010",10441.95,10524.78,10276.14,10293.52,4514380000,10293.52
"Jun 21, 2010",10452.46,10627.19,10387.54,10442.41,4514360000,10442.41
"Jun 18, 2010",10435.00,10513.75,10379.60,10450.64,4555360000,10450.64
"Jun 17, 2010",10409.98,10479.74,10293.49,10434.17,4557760000,10434.17
"Jun 16, 2010",10404.24,10456.39,10289.37,10409.46,5002600000,10409.46
"Jun 15, 2010",10192.40,10416.11,10192.40,10404.77,4644490000,10404.77
"Jun 14, 2010",10211.83,10354.97,10175.02,10190.89,4425830000,10190.89
"Jun 11, 2010",10166.78,10235.10,10038.31,10211.07,4059280000,10211.07
"Jun 10, 2010",9901.67,10206.61,9901.67,10172.53,5144780000,10172.53
"Jun 9, 2010",9941.57,10093.33,9859.04,9899.25,5983200000,9899.25
"Jun 8, 2010",9812.94,9971.57,9726.33,9939.98,6192750000,9939.98
"Jun 7, 2010",9931.75,10025.84,9798.73,9816.49,5467560000,9816.49
"Jun 4, 2010",10249.61,10249.61,9881.11,9931.97,6180580000,9931.97
"Jun 3, 2010",10250.67,10348.84,10158.92,10255.28,4995970000,10255.28
"Jun 2, 2010",10025.61,10256.57,10007.09,10249.54,5026360000,10249.54
"Jun 1, 2010",10133.94,10249.27,9976.56,10024.02,5271480000,10024.02
"May 28, 2010",10258.00,10293.45,10078.66,10136.63,4871210000,10136.63
"May 27, 2010",9971.73,10279.01,9971.73,10258.99,5698460000,10258.99
"May 26, 2010",10045.11,10211.60,9937.79,9974.45,4521050000,9974.45
"May 25, 2010",10061.43,10061.43,9756.11,10043.75,7329580000,10043.75
"May 24, 2010",10193.46,10235.63,10028.78,10066.57,5224040000,10066.57
"May 21, 2010",10063.93,10225.88,9860.93,10193.39,5452130000,10193.39
"May 20, 2010",10440.21,10440.21,10042.46,10068.01,8328569600,10068.01
"May 19, 2010",10505.70,10558.56,10306.22,10444.37,6765800000,10444.37
"May 18, 2010",10625.45,10760.05,10463.15,10510.95,6170840000,10510.95
"May 17, 2010",10616.98,10707.30,10424.72,10625.83,5922920000,10625.83
"May 14, 2010",10780.68,10780.68,10509.89,10620.16,6126400000,10620.16
"May 13, 2010",10896.61,10952.84,10752.72,10782.95,4870640000,10782.95
"May 12, 2010",10742.15,10941.88,10725.81,10896.91,5225460000,10896.91
"May 11, 2010",10780.00,10888.30,10653.71,10748.26,5842550000,10748.26
"May 10, 2010",10386.18,10880.14,10386.18,10785.14,6893700000,10785.14
"May 7, 2010",10519.42,10622.27,10221.50,10380.43,9472910400,10380.43
"May 6, 2010",10862.22,10925.86,9787.17,10520.32,10617809600,10520.32
"May 5, 2010",10918.40,10984.05,10754.30,10868.12,6795940000,10868.12
"May 4, 2010",11149.48,11149.48,10843.71,10926.77,6594720000,10926.77
"May 3, 2010",11009.60,11203.37,11004.15,11151.83,4938050000,11151.83
"Apr 30, 2010",11168.23,11235.94,10984.35,11008.61,6048260000,11008.61
"Apr 29, 2010",11045.64,11232.54,11045.64,11167.32,6059410000,11167.32
"Apr 28, 2010",10988.87,11115.63,10938.48,11045.27,6342310000,11045.27
"Apr 27, 2010",11203.67,11260.88,10962.81,10991.99,7454540000,10991.99
"Apr 26, 2010",11205.11,11308.95,11150.01,11205.03,5647760000,11205.03
"Apr 23, 2010",11132.18,11247.20,11058.87,11204.28,5326060000,11204.28
"Apr 22, 2010",11119.78,11175.33,10975.66,11134.29,6035780000,11134.29
"Apr 21, 2010",11116.91,11217.35,11018.59,11124.92,5724310000,11124.92
"Apr 20, 2010",11093.11,11190.22,11045.80,11117.06,5316590000,11117.06
"Apr 19, 2010",11018.36,11116.76,10940.60,11092.05,6597740000,11092.05
"Apr 16, 2010",11143.66,11186.82,10947.55,11018.66,8108470400,11018.66
"Apr 15, 2010",11122.96,11189.61,11051.31,11144.57,5995330000,11144.57
"Apr 14, 2010",11020.70,11147.14,11004.61,11123.11,5760040000,11123.11
"Apr 13, 2010",11006.72,11072.70,10925.86,11019.42,5403580000,11019.42
"Apr 12, 2010",10996.75,11066.96,10957.22,11005.97,4607090000,11005.97
"Apr 9, 2010",10926.92,11032.12,10894.19,10997.35,4511570000,10997.35
"Apr 8, 2010",10896.99,10969.92,10810.15,10927.07,4726970000,10927.07
"Apr 7, 2010",10961.95,11000.22,10835.77,10897.52,5101430000,10897.52
"Apr 6, 2010",10972.49,11017.76,10893.89,10969.99,4086180000,10969.99
"Apr 5, 2010",10927.45,11026.75,10880.36,10973.55,3881620000,10973.55
"Apr 1, 2010",10857.31,10983.14,10851.57,10927.07,4006870000,10927.07
"Mar 31, 2010",10907.34,10933.19,10802.22,10856.63,4484340000,10856.63
"Mar 30, 2010",10895.02,10968.56,10837.21,10907.42,4085000000,10907.42
"Mar 29, 2010",10849.23,10954.43,10827.91,10895.86,4375580000,10895.86
"Mar 26, 2010",10841.29,10934.85,10801.84,10850.36,4708420000,10850.36
"Mar 25, 2010",10837.51,10985.26,10818.77,10841.21,5668900000,10841.21
"Mar 24, 2010",10887.62,10925.48,10788.77,10836.15,4705750000,10836.15
"Mar 23, 2010",10787.18,10906.06,10752.41,10888.83,4411640000,10888.83
"Mar 22, 2010",10741.00,10836.68,10672.23,10785.89,4261680000,10785.89
"Mar 19, 2010",10780.00,10869.55,10665.35,10741.98,5212410000,10741.98
"Mar 18, 2010",10733.44,10821.49,10686.89,10779.17,4234510000,10779.17
"Mar 17, 2010",10686.36,10787.86,10658.10,10733.67,4963200000,10733.67
"Mar 16, 2010",10642.53,10717.42,10594.16,10685.98,4369770000,10685.98
"Mar 15, 2010",10623.41,10680.32,10540.65,10642.15,4164110000,10642.15
"Mar 12, 2010",10611.77,10690.90,10561.66,10624.69,4928160000,10624.69
"Mar 11, 2010",10560.98,10626.73,10489.87,10611.84,4669060000,10611.84
"Mar 10, 2010",10560.13,10639.05,10502.64,10567.33,5469120000,10567.33
"Mar 9, 2010",10552.24,10637.46,10493.49,10564.38,5185570000,10564.38
"Mar 8, 2010",10563.78,10632.48,10500.90,10552.52,3774680000,10552.52
"Mar 5, 2010",10445.13,10587.13,10445.13,10566.20,4133000000,10566.20
"Mar 4, 2010",10396.53,10484.05,10363.88,10444.14,3945010000,10444.14
"Mar 3, 2010",10406.28,10496.22,10359.58,10396.76,3951320000,10396.76
"Mar 2, 2010",10404.16,10493.80,10359.80,10405.98,4134680000,10405.98
"Mar 1, 2010",10326.10,10444.60,10320.05,10403.79,3847640000,10403.79
"Feb 26, 2010",10321.41,10391.24,10250.45,10325.26,3945190000,10325.26
"Feb 25, 2010",10366.60,10366.60,10155.75,10321.03,4521130000,10321.03
"Feb 24, 2010",10284.00,10416.94,10271.61,10374.16,4168360000,10374.16
"Feb 23, 2010",10383.16,10430.16,10239.34,10282.41,4521050000,10282.41
"Feb 22, 2010",10402.43,10468.55,10333.05,10383.38,3814440000,10383.38
"Feb 19, 2010",10387.77,10459.18,10316.50,10402.35,3944280000,10402.35
"Feb 18, 2010",10309.39,10416.79,10255.58,10392.90,3878620000,10392.90
"Feb 17, 2010",10261.48,10366.83,10223.16,10309.24,4259230000,10309.24
"Feb 16, 2010",10100.81,10292.62,10100.81,10268.81,4080770000,10268.81
"Feb 12, 2010",10137.23,10140.18,9962.13,10099.14,4160680000,10099.14
"Feb 11, 2010",10037.85,10184.85,9963.19,10144.19,4400870000,10144.19
"Feb 10, 2010",10055.46,10120.15,9946.26,10038.38,4251450000,10038.38
"Feb 9, 2010",9910.28,10154.24,9910.28,10058.64,5114260000,10058.64
"Feb 8, 2010",10005.43,10059.24,9882.85,9908.39,4089820000,9908.39
"Feb 5, 2010",10003.69,10078.89,9822.84,10012.23,6438900000,10012.23
"Feb 4, 2010",10273.12,10273.12,9984.35,10002.18,5859690000,10002.18
"Feb 3, 2010",10291.73,10356.86,10192.03,10270.55,4285450000,10270.55
"Feb 2, 2010",10186.13,10333.35,10138.75,10296.85,4749540000,10296.85
"Feb 1, 2010",10068.99,10227.24,10068.99,10185.53,4077610000,10185.53
"Jan 29, 2010",10122.04,10272.29,10014.35,10067.33,5412850000,10067.33
"Jan 28, 2010",10236.92,10310.68,10023.80,10120.46,5452400000,10120.46
"Jan 27, 2010",10194.29,10294.13,10060.98,10236.16,5319120000,10236.16
"Jan 26, 2010",10195.35,10323.00,10102.17,10194.29,4731910000,10194.29
"Jan 25, 2010",10175.10,10316.65,10135.95,10196.86,4481390000,10196.86
"Jan 22, 2010",10389.58,10450.04,10133.15,10172.98,6208650000,10172.98
"Jan 21, 2010",10603.91,10651.14,10334.18,10389.88,6874289600,10389.88
"Jan 20, 2010",10719.69,10719.69,10492.36,10603.15,4810560000,10603.15
"Jan 19, 2010",10608.37,10763.45,10555.47,10725.43,4724830000,10725.43
"Jan 15, 2010",10706.99,10736.54,10529.09,10609.65,4758730000,10609.65
